i_iso3,j_iso3,q025,q500,q975
CAN,BGR,1.545975384923869,1.6609806166453598,1.7882763055155253
CHL,BGR,1.9409455898097354,2.0892015442605905,2.293467291621006
CHN,BGR,1.6191027365985575,1.77924770746421,2.005744663635463
COL,BGR,5.19140442166091,5.76554033163981,6.30236390291779
CYP,BGR,1.3191378461974637,1.44004263519514,1.5894396921936575
CZE,BGR,1.441928730621632,1.552035262873865,1.6862011246490627
DEU,BGR,1.0194156192639074,1.1123118545013508,1.180857468499961
DNK,BGR,1.30689819665953,1.4093580066125702,1.5371799783250428
ELL,BGR,1.788559259971227,1.918903796763101,2.085661062605924
ESP,BGR,1.1546044311935373,1.2124470547882529,1.328959082333646
FIN,BGR,1.593857806511045,1.6949488593971953,1.804786898865557
FRA,BGR,1.2163230686352695,1.3195550300808612,1.3937483665349024
GBR,BGR,1.4695523985587897,1.567926334748636,1.6841096058605514
GRC,BGR,1.126242212054694,1.2244551752302821,1.3338245087494371
HUN,BGR,1.3877768487414894,1.5103582421365498,1.6623966138892936
IDN,BGR,2.759467068807992,3.0420522450081497,3.315801017312364
IND,BGR,3.2837517743705007,3.717244798445509,4.251225485650986
IRL,BGR,1.6057550383800403,1.7118732507481726,1.847457232431558
ISR,BGR,1.3182488143531672,1.4559595013874458,1.5852982044141317
ITA,BGR,1.104042889778245,1.1721252319303415,1.2570611673131145
JPN,BGR,1.26963528136352,1.4170044423981367,1.538804807275342
KOR,BGR,1.5826052952376903,1.7303646027080966,1.940859220966809
MEX,BGR,2.779695113570318,2.94097606300907,3.2036125083033706
MYSG,BGR,1.9816949784759297,2.194165818562046,2.4546551758978383
NZL,BGR,2.3829559260054722,2.5345996690131614,2.714862071502743
PER,BGR,1.8376954282768554,2.0660676920998275,2.254266669746955
PHL,BGR,3.3880725865908294,3.766856016319723,4.188874459637238
POL,BGR,1.7509865541538714,1.8609404396737137,2.0536317442916077
PRT,BGR,1.813061550573071,1.953523924714149,2.1135926226707027
ROU,BGR,1.375301440240695,1.4994814046308258,1.5879153050533334
RoW,BGR,1.2602829398744424,1.357787245857285,1.465234697281113
RUS,BGR,1.3812179972041547,1.4915893694456703,1.6512490782082234
SVK,BGR,1.4075348727685146,1.4866482717807012,1.5905039566119248
SVN,BGR,1.447443878258599,1.5789370491678965,1.7029299158330398
SWE,BGR,1.2826782127358833,1.4186290303164175,1.527250185128434
