i_iso3,j_iso3,year,tau,tauAlt
TRI,RUS,2011,1.5418811444136258,NA
TRI,THA,2011,1.2133993147091908,NA
TRI,TUR,2011,1.682848967765584,NA
TRI,USA,2011,1.7704361164211755,NA
TRI,VNM,2011,1.00890624868992,NA
TRI,ZAF,2011,1.6500329991815934,NA
AUS,MAI,2011,1.6125450914093624,NA
BRA,MAI,2011,1.871509772176969,NA
CAN,MAI,2011,1.6607673005590389,NA
CHL,MAI,2011,2.3772833115097445,NA
CHN,MAI,2011,1.9091333707512654,NA
COL,MAI,2011,3.20038238148625,NA
EU,MAI,2011,1.4223839972374648,NA
IDN,MAI,2011,3.0079897137743696,NA
IND,MAI,2011,3.926366875242341,NA
ISR,MAI,2011,2.1998529072709188,NA
JPN,MAI,2011,1.2284161534676994,NA
KOR,MAI,2011,1.7908253941342145,NA
MEX,MAI,2011,2.7261362927237722,NA
MYSG,MAI,2011,2.169712233256753,NA
NZL,MAI,2011,2.396264457906185,NA
PER,MAI,2011,3.1108762957741907,NA
PHL,MAI,2011,3.9146655588420227,NA
RoW,MAI,2011,1.7600340664130254,NA
RUS,MAI,2011,2.6378856391117247,NA
THA,MAI,2011,3.1951861981862217,NA
TUR,MAI,2011,2.8031411331817817,NA
USA,MAI,2011,1.8691293723748568,NA
VNM,MAI,2011,3.8744467186599505,NA
ZAF,MAI,2011,2.5743348502816827,NA
