Name,ccode,pppReal,expReal,gdpUSDT,expShareT
"Appliances, articles and products for personal care",IND,0.6474969766025312,33740534533.17992,863763756060.2175,0.03906222540185825
"Appliances, articles and products for personal care",ISR,1.2943186016154558,1940683013.0648189,80940492070.38477,0.023976664379272948
"Appliances, articles and products for personal care",JPN,1.130445144697014,40694074454.62177,2021638224400.7524,0.02012925654226991
"Appliances, articles and products for personal care",KOR,1.256832717673479,10046488441.10648,346737064565.3099,0.028974371268042406
"Appliances, articles and products for personal care",MEX,0.7870282257787763,6736651694.79929,476386003517.584,0.01414116209346321
"Appliances, articles and products for personal care",MYSG,0.8995543959436068,3275473566.9767084,148201628667.646,0.022101468090625506
"Appliances, articles and products for personal care",NZL,1.3655341407394164,1067006811.4009085,54312692779.97695,0.01964562530021111
"Appliances, articles and products for personal care",PER,0.9847156831142007,3721735594.2050037,70766324607.54346,0.05259190179573462
"Appliances, articles and products for personal care",PHL,0.6540425256241456,6779049771.189666,116862082387.78627,0.05800897633070221
"Appliances, articles and products for personal care",RoW,0.8740341499515117,73576960555.00502,3953264466259.4966,0.018611697037466894
"Appliances, articles and products for personal care",RUS,0.7615585579914249,14504548088.74626,793246609212.229,0.018285042659243998
"Appliances, articles and products for personal care",THA,0.7006887999432859,3083801650.572823,188991157433.48123,0.016317174265987663
"Appliances, articles and products for personal care",TUR,0.9641418541360267,8942277135.496365,426950403300.6212,0.020944533759346268
"Appliances, articles and products for personal care",USA,1,103079396180.777,4714580039654.105,0.021863961437451725
"Appliances, articles and products for personal care",VNM,0.48320533299707996,500396153.0491595,59056391694.1914,0.00847319212525436
"Appliances, articles and products for personal care",ZAF,0.9573642139510158,6295903417.631345,165367298474.65317,0.03807223964897966
"Audio-visual, photographic and information processing equipment",AUS,1.129473849279828,15426430621.93967,410366207611.79,0.03759186389083286
"Audio-visual, photographic and information processing equipment",BRA,1.2584602599502313,14906468426.821531,987101604734.631,0.015101250322482189
"Audio-visual, photographic and information processing equipment",CAN,1.1179237674110563,12053292699.394865,504068428113.4744,0.023912016756346945
"Audio-visual, photographic and information processing equipment",CHL,1.3812204973359823,3853727159.5539703,97256116028.83278,0.03962452251755031
"Audio-visual, photographic and information processing equipment",CHN,0.6875690753020207,33484111889.4982,2548185298532.511,0.013140375587592297
"Audio-visual, photographic and information processing equipment",COL,0.705681834053309,1062149450.3063279,124398941565.95387,0.008538251507093388
"Audio-visual, photographic and information processing equipment",EU,1.2088437502097018,118523816553.77621,5859159613535.026,0.020228808288475154
"Audio-visual, photographic and information processing equipment",IDN,0.6374466527572441,1667277937.6161578,347358927915.7229,0.004799870691737847
"Audio-visual, photographic and information processing equipment",IND,0.6918844841811834,2749187392.7194624,863763756060.2175,0.0031828001272697555
"Audio-visual, photographic and information processing equipment",ISR,1.6470028794092864,1559439597.8402042,80940492070.38477,0.01926649514910456
"Audio-visual, photographic and information processing equipment",JPN,1.044503209338701,74311635771.29825,2021638224400.7524,0.03675812757909515
"Audio-visual, photographic and information processing equipment",KOR,1.24338449072112,9230851339.809437,346737064565.3099,0.026622049625360297
