i_iso3,j_iso3,year,tau,tauAlt
CZE,AUT,2011,1.9063975166843923,1.561189262240234
DEU,AUT,2011,1.2662090574773144,1.1791416020586236
DNK,AUT,2011,1.9371602259201224,1.3323327537139928
ELL,AUT,2011,2.903531136886165,1.974770971404023
ESP,AUT,2011,2.1772525428548968,1.607554477248238
FIN,AUT,2011,2.2240586309597186,1.4975083870424075
FRA,AUT,2011,1.8172145927042107,1.400213517256985
GBR,AUT,2011,2.1656907548756728,1.6090482634916359
GRC,AUT,2011,2.7247881925945467,1.7246691310988413
HUN,AUT,2011,2.0854810259716117,1.6960575625899414
IDN,AUT,2011,4.105929516650801,2.6277487353690927
IND,AUT,2011,4.8408507845651885,3.35913727170006
IRL,AUT,2011,2.2981553294983854,1.5632332396611404
ISR,AUT,2011,2.548921338013412,1.5955394242075582
ITA,AUT,2011,1.6138277947859758,1.3053837207455026
JPN,AUT,2011,1.582797048367678,1.1275470772389278
KOR,AUT,2011,2.448961359693932,1.688476053017473
MEX,AUT,2011,3.6191680355342273,2.3412863350357767
MYSG,AUT,2011,2.971790919719685,2.0835460199536646
NZL,AUT,2011,2.900109675999559,1.6926444173464081
PER,AUT,2011,4.8682475890427135,2.637982529654649
PHL,AUT,2011,4.690972398990402,3.010669493668199
POL,AUT,2011,2.568041554525686,1.967290148526732
PRT,AUT,2011,2.629540399762133,1.7790232969679518
ROU,AUT,2011,2.729415920462385,1.9794859505294136
RoW,AUT,2011,1.9394437079941615,1.663016347595137
RUS,AUT,2011,3.1349607013446112,2.2269325868411767
SVK,AUT,2011,1.8340801853645732,1.5193015129025795
SVN,AUT,2011,2.0027414161540342,1.5579892389577812
SWE,AUT,2011,1.794670408638913,1.311357826538061
THA,AUT,2011,4.09363628104346,2.7796688943942125
TUR,AUT,2011,2.6579973803698085,1.8829083227082863
USA,AUT,2011,2.2708097686644066,1.7270834880485826
VNM,AUT,2011,4.52400627128575,3.119705181915698
ZAF,AUT,2011,3.3393250086176844,2.0887322350044197
AUS,BGR,2011,2.014706928258771,1.1225514285916496
AUT,BGR,2011,1.208943818602088,0.9416466767912004
BNL,BGR,2011,1.0590340238198046,0.9259828394625768
BRA,BGR,2011,1.5140171297058371,1.0230259343538923
CAN,BGR,2011,1.6615639671241274,1.0275271906537187
CHL,BGR,2011,2.1098960296184925,1.3165989058136642
CHN,BGR,2011,1.7751588967947776,1.325127261689816
COL,BGR,2011,5.73675658725984,2.3427129019713098
CYP,BGR,2011,1.4483872310157004,1.0850543860337045
CZE,BGR,2011,1.5561000162930458,1.1801700497304006
